months	alive	dead	censored
0	24	0	0
1	24	0	0
2	24	0	0
3	24	0	0
4	24	0	0
5	24	0	0
6	24	0	0
7	24	0	0
8	24	0	0
9	24	0	0
10	24	0	0
11	24	0	0
12	24	1	1
13	22	0	0
14	22	0	0
15	22	0	0
16	22	0	0
17	22	0	0
18	22	0	0
19	22	0	0
20	22	0	0
21	22	0	0
22	22	0	0
23	22	0	0
24	22	0	0
25	22	0	0
26	22	0	0
27	22	0	0
28	22	0	0
29	22	0	0
30	22	0	0
31	22	0	0
32	22	0	0
33	22	0	0
34	22	0	0
35	22	0	0
36	22	0	0
37	22	0	0
38	22	0	0
39	22	0	0
40	22	0	0
41	22	0	0
42	22	0	0
43	22	0	0
44	22	0	0
45	22	0	0
46	22	0	0
47	22	0	0
48	22	1	0
49	21	0	0
50	21	0	0
51	21	0	0
52	21	0	0
53	21	0	0
54	21	0	0
55	21	0	0
56	21	0	0
57	21	0	0
58	21	0	0
59	21	0	0
60	21	0	0
61	21	0	0
62	21	0	0
63	21	0	0
64	21	0	0
65	21	0	0
66	21	0	0
67	21	1	0
68	20	0	0
69	20	0	0
70	20	0	0
71	20	0	0
72	20	0	0
73	20	0	0
74	20	0	0
75	20	0	0
76	20	0	0
77	20	0	0
78	20	0	0
79	20	0	0
80	20	0	0
81	20	0	0
82	20	0	0
83	20	0	0
84	20	1	1
85	18	0	0
86	18	0	0
87	18	0	0
88	18	0	0
89	18	0	0
90	18	0	0
91	18	0	0
92	18	0	0
93	18	0	0
94	18	0	0
95	18	0	0
96	18	0	2
97	16	0	0
98	16	0	0
99	16	0	0
100	16	1	0
101	15	0	0
102	15	0	0
103	15	0	0
104	15	0	0
105	15	0	0
106	15	0	0
107	15	0	0
108	15	0	1
109	14	0	0
110	14	0	0
111	14	0	0
112	14	0	0
113	14	0	0
114	14	0	0
115	14	0	0
116	14	0	0
117	14	0	0
118	14	0	0
119	14	0	0
120	14	1	1
121	12	0	0
122	12	0	0
123	12	0	0
124	12	0	0
125	12	0	0
126	12	0	0
127	12	0	0
128	12	0	0
129	12	0	0
130	12	0	0
131	12	0	0
132	12	0	1
133	11	0	0
134	11	0	0
135	11	0	0
136	11	0	0
137	11	0	0
138	11	0	0
139	11	0	0
140	11	0	0
141	11	0	0
142	11	1	0
143	10	0	0
144	10	0	0
145	10	0	0
146	10	0	0
147	10	0	0
148	10	0	0
149	10	0	0
150	10	0	0
151	10	0	0
152	10	0	0
153	10	0	0
154	10	0	0
155	10	1	0
156	9	0	0
157	9	0	0
158	9	0	0
159	9	0	0
160	9	0	0
161	9	0	0
162	9	0	0
163	9	0	0
164	9	0	0
165	9	0	0
166	9	0	0
167	9	0	0
168	9	2	1
169	6	0	0
170	6	0	0
171	6	1	0
172	5	0	0
173	5	0	0
174	5	0	0
175	5	0	0
176	5	0	0
177	5	0	0
178	5	0	0
179	5	0	0
180	5	1	1
181	3	0	0
182	3	0	0
183	3	0	0
184	3	0	0
185	3	0	0
186	3	0	0
187	3	0	0
188	3	0	0
189	3	0	0
190	3	0	0
191	3	0	0
192	3	0	0
193	3	0	0
194	3	0	0
195	3	0	0
196	3	0	0
197	3	0	0
198	3	0	0
199	3	0	0
200	3	0	0
201	3	0	0
202	3	0	0
203	3	0	0
204	3	1	0
205	2	0	0
206	2	0	0
207	2	0	0
208	2	0	0
209	2	0	0
210	2	0	0
211	2	0	0
212	2	0	0
213	2	0	0
214	2	0	0
215	2	0	0
216	2	0	0
217	2	0	0
218	2	0	0
219	2	0	0
220	2	0	0
221	2	0	0
222	2	0	0
223	2	0	0
224	2	0	0
225	2	0	0
226	2	0	0
227	2	0	0
228	2	0	0
229	2	0	0
230	2	0	0
231	2	0	0
232	2	0	0
233	2	0	0
234	2	0	0
235	2	0	0
236	2	0	0
237	2	0	0
238	2	0	0
239	2	0	0
240	2	0	0
241	2	0	0
242	2	0	0
243	2	0	0
244	2	0	0
245	2	0	0
246	2	0	0
247	2	0	0
248	2	0	0
249	2	0	0
250	2	0	0
251	2	0	0
252	2	0	1
253	1	1	0
254	0	0	0
255	0	0	0
256	0	0	0
257	0	0	0
258	0	0	0
259	0	0	0
260	0	0	0
261	0	0	0
262	0	0	0
263	0	0	0
264	0	0	0
265	0	0	0
266	0	0	0
267	0	0	0
268	0	0	0
269	0	0	0
270	0	0	0
271	0	0	0
272	0	0	0
273	0	0	0
274	0	0	0
275	0	0	0
276	0	0	0
277	0	0	0
278	0	0	0
279	0	0	0
280	0	0	0
281	0	0	0
282	0	0	0
283	0	0	0
284	0	0	0
285	0	0	0
286	0	0	0
287	0	0	0
288	0	0	0
289	0	0	0
290	0	0	0
291	0	0	0
292	0	0	0
293	0	0	0
294	0	0	0
295	0	0	0
296	0	0	0
297	0	0	0
298	0	0	0
299	0	0	0
300	0	0	0
301	0	0	0
302	0	0	0
303	0	0	0
304	0	0	0
305	0	0	0
306	0	0	0
307	0	0	0
308	0	0	0
309	0	0	0
310	0	0	0
311	0	0	0
312	0	0	0
313	0	0	0
314	0	0	0
315	0	0	0
316	0	0	0
317	0	0	0
318	0	0	0
319	0	0	0
320	0	0	0
321	0	0	0
322	0	0	0
323	0	0	0
324	0	0	0
325	0	0	0
326	0	0	0
327	0	0	0
328	0	0	0
329	0	0	0
330	0	0	0
331	0	0	0
332	0	0	0
333	0	0	0
334	0	0	0
335	0	0	0
336	0	0	0
337	0	0	0
338	0	0	0
339	0	0	0
340	0	0	0
341	0	0	0
342	0	0	0
343	0	0	0
344	0	0	0
345	0	0	0
346	0	0	0
347	0	0	0
348	0	0	0
349	0	0	0
350	0	0	0
351	0	0	0
352	0	0	0
353	0	0	0
354	0	0	0
355	0	0	0
356	0	0	0
357	0	0	0
358	0	0	0
359	0	0	0
360	0	0	0
