age	lt	dt	wt	lt1	qt	qt_smooth	pt	cm	qt_l95	qt_u95
1	506	0	0	506	0	0	1	62	0	0
2	506	0	0	506	0	0	1	62	0	0
3	506	0	0	506	0	0	1	62	0	0
4	506	0	0	506	0	0	1	62	0	0
5	506	0	0	506	0	0	1	62	0	0
6	506	0	0	506	0	0	1	62	0	0
7	506	0	0	506	0	0	1	62	0	0
8	506	0	0	506	0	0	1	62	0	0
9	506	0	0	506	0	0	1	62	0	0
10	506	0	0	506	0	0	1	62	0	0
11	506	0	0	506	0	0	1	62	0	0
12	506	0	0	506	0	0	1	62	0	0
13	506	0	0	506	0	0	1	62	0	0
14	506	0	0	506	0	0	1	62	0	0
15	506	0	0	506	0	0	1	62	0	0
16	506	0	0	506	0	0	1	62	0	0
17	506	0	0	506	0	0	1	62	0	0
18	506	0	1	505.5	0	0	1	62	0	0
19	505	0	1	504.5	0	0	1	62	0	0
20	504	0	0	504	0	0	1	62	0	0
21	504	0	1	503.5	0	0	1	62	0	0
22	503	0	1	502.5	0	0	1	62	0	0
23	502	0	0	502	0	0	1	62	0	0
24	502	0	1	501.5	0	1.76939027489946e-05	1	62	0	5.34021209728208e-05
25	501	0	0	501	0	3.64318111252233e-05	1	62	0	0.000109955164361841
26	501	0	0	501	0	6.71247907905074e-05	1	62	0	0.000202589911842578
27	501	0	1	500.5	0	0.000110670070367606	1	62	0	0.000334014296884122
28	500	0	0	500	0	0.000163276049732534	1	62	0	0.000492784858347687
29	500	0	0	500	0	0.000251337264288879	1	62	0	0.000724176431737577
30	500	0	0	500	0	0.000346323101480046	1	62	1.79633530446646e-05	0.000937202655876956
31	500	1	0	500	0.002	0.000442001310834	0.998	62	3.69866102794145e-05	0.00112011052916434
32	499	0	0	499	0	0.000582920623068323	0.998	62	0.000112127730868901	0.00129796681360779
33	499	0	0	499	0	0.000769308941505508	0.998	62	0.000218569921790975	0.00154527263966457
34	499	0	1	498.5	0	0.000996061973063993	0.998	62	0.00032413935627754	0.00188750084246489
35	498	0	3	496.5	0	0.00130303317380472	0.998	62	0.000514351724599899	0.00239701109468738
36	495	2	1	494.5	0.00404448938321537	0.00163540952215901	0.993963599595551	62	0.000731612013951411	0.00286137013459266
37	492	1	1	491.5	0.00203458799593082	0.00206063966993652	0.991941293187422	62	0.00103803188889048	0.00341485390219555
38	490	0	0	490	0	0.00255407770338442	0.991941293187422	62	0.00145903439654743	0.00408223579003666
39	490	2	2	489	0.00408997955010225	0.00316511828253113	0.987884273583383	62	0.00189648267602738	0.00481939416828389
40	486	2	2	485	0.00412371134020619	0.00396153006096135	0.983810524001596	62	0.00256361034639082	0.00578783519722629
41	482	1	2	481	0.00207900207900208	0.00499585685470454	0.981765179876853	62	0.00338545274109731	0.00694294689434683
42	479	3	2	478	0.00627615062761506	0.00623023444547317	0.975603473726998	62	0.00425906448695037	0.00837639037131797
43	474	1	0	474	0.00210970464135021	0.00781825409172972	0.973545238550359	62	0.00541453633312989	0.0103146139328628
44	473	5	3	471.5	0.0106044538706257	0.00957853634218281	0.963221322977184	63	0.00689982813435099	0.0123032573914766
45	465	5	1	464.5	0.0107642626480086	0.0115916371211922	0.952852955668495	63	0.00863301366122905	0.0145537392083255
46	459	7	0	459	0.0152505446623094	0.013847940394097	0.93832142911146	63	0.0105587631727236	0.0170855511055421
47	452	8	0	452	0.0176991150442478	0.0162206622334915	0.921713970189133	63	0.0126367162400163	0.0199676434907487
48	444	9	2	443	0.0203160270880361	0.0189114491286916	0.902988404203349	63	0.0150500680707474	0.0232004717412449
49	433	5	0	433	0.0115473441108545	0.0219292652478247	0.892561286371902	63	0.0178788364314727	0.0264799150435715
50	428	12	1	427.5	0.0280701754385965	0.0253168121583675	0.867506934473743	63	0.0209642720349133	0.0303319388648813
51	415	8	1	414.5	0.0193003618817853	0.0290098133308707	0.850763736703442	64	0.0242102400605631	0.0343469718016065
52	406	13	3	404.5	0.0321384425216316	0.03275124605519	0.82342151525191	64	0.0274110367944259	0.0384152262406232
53	390	18	1	389.5	0.0462130937098845	0.0366106442642681	0.785368659604838	64	0.0307639409761372	0.0424918874712267
54	371	15	0	371	0.0404312668463612	0.0401063253379529	0.753615209755586	65	0.0338997159784947	0.0460167644482846
55	356	19	2	355	0.0535211267605634	0.0431994409165566	0.713280874585569	65	0.0367598962134273	0.0495940348305408
56	335	16	1	334.5	0.0478325859491779	0.0463089942984556	0.67916280584605	65	0.0395751848740468	0.0532210025757776
57	318	15	1	317.5	0.047244094488189	0.0498328800048228	0.647076374073795	66	0.0427600962039237	0.0574133292237643
58	302	12	2	301	0.0398671096345515	0.053973098414848	0.621279309326667	66	0.0464209438217849	0.0622601113454554
59	288	11	2	287	0.0383275261324042	0.0590701530202468	0.597467210362927	67	0.0509281859940581	0.0684100416526682
60	275	21	1	274.5	0.0765027322404372	0.0653085198591349	0.551759336346091	68	0.0559522238218171	0.075572851942832
61	253	16	1	252.5	0.0633663366336634	0.0726269378559041	0.516796368498418	68	0.0624235094002598	0.0836511953946263
62	236	15	1	235.5	0.0636942675159236	0.0805306817501694	0.483879402352022	68	0.0697412390223397	0.0920648629832366
63	220	23	0	220	0.104545454545455	0.0885837279262854	0.433292010287947	69	0.0771265567646514	0.101454581680666
64	197	24	0	197	0.121827411167513	0.0964832124799979	0.380505166394999	70	0.0837603405475691	0.110291231070711
65	173	19	0	173	0.109826589595376	0.104054988384111	0.338715581646416	71	0.0903291170681669	0.119210169165592
66	154	13	1	153.5	0.0846905537459283	0.110881950101973	0.310029571474406	71	0.0956125820799442	0.127134825441571
67	140	15	1	139.5	0.10752688172043	0.116931342667768	0.276693058412642	72	0.100610772485398	0.134690092940966
68	124	17	1	123.5	0.137651821862348	0.122119750585015	0.238605754825477	73	0.104847274572157	0.141744587682086
69	106	14	0	106	0.132075471698113	0.126480614221136	0.207091787207018	75	0.107814637034824	0.147691214071783
70	92	14	0	92	0.152173913043478	0.128761182025939	0.175577819588558	76	0.109643077780644	0.151563094401359
71	78	12	0	78	0.153846153846154	0.129109274818542	0.148565847344165	77	0.108168911485329	0.154139132107384
72	66	10	0	66	0.151515151515152	0.128820153609094	0.126055870473837	78	0.106011241182289	0.154910106608227
73	56	5	1	55.5	0.0900900900900901	0.12820667997768	0.114699485746464	79	0.103919089895664	0.15634073046294
74	50	4	1	49.5	0.0808080808080808	0.129100730917408	0.105430840433619	79	0.103585391732346	0.1596898133981
75	45	6	0	45	0.133333333333333	0.131171656919676	0.0913733950424694	80	0.102896404984767	0.165236673654942
76	39	7	0	39	0.179487179487179	0.136101318784083	0.0749730420861288	81	0.103970250793913	0.175541248988125
77	32	3	1	31.5	0.0952380952380952	0.144770739614234	0.0678327523636403	81	0.109132177507147	0.187429939630076
78	28	3	0	28	0.107142857142857	0.153731422183183	0.060564957467536	82	0.112799100808515	0.201523069423031
79	25	5	0	25	0.2	0.163245938312008	0.0484519659740288	83	0.116713646931292	0.219309462347967
80	20	3	0	20	0.15	0.171208784050173	0.0411841710779245	83	0.119952147090233	0.233823594714762
81	17	4	0	17	0.235294117647059	0.179529233609026	0.0314937778831187	84	0.122151358732803	0.245355481952709
82	13	2	0	13	0.153846153846154	0.180984308582427	0.0266485812857158	84	0.119185770808082	0.252379142418138
83	11	3	0	11	0.272727272727273	0.176415911043202	0.0193807863896115	88	0.113141299072042	0.245139300816247
84	8	3	0	8	0.375	0.170887432390975	0.0121129914935072	91	0.105048711838293	0.236960238778314
85	5	0	0	5	0	0.163721231040304	0.0121129914935072	91	0.0915808073279613	0.208462724547879
86	5	0	1	4.5	0	0.158554637938544	0.0121129914935072	91	0.0765643650378788	0.195245994973875
87	4	0	0	4	0	0.157351498998256	0.0121129914935072	91	0.0505283809789158	0.179050092362253
88	4	2	0	4	0.5	0.16165143471047	0.0060564957467536	92	0.0313069711109871	0.179151560349567
89	2	0	0	2	0	0.170072173140648	0.0060564957467536	92	0.0120793433527399	0.190969922130033
90	2	0	0	2	0	0.182537705066114	0.0060564957467536	92	0.00779743015610038	0.209797542611391
91	2	1	0	2	0.5	0.196432144349858	0.0030282478733768	92	0	0.23207704054798
92	1	1	0	1	1	0.211069180029116	0	NA	0	0.263319229601295
93	0	0	0	0	NA	NA	0	NA	NA	NA
94	0	0	0	0	NA	NA	0	NA	NA	NA
95	0	0	0	0	NA	NA	0	NA	NA	NA
96	0	0	0	0	NA	NA	0	NA	NA	NA
97	0	0	0	0	NA	NA	0	NA	NA	NA
98	0	0	0	0	NA	NA	0	NA	NA	NA
