hazard_ratio	followup	stratify	n	w	power
0.5	2	FALSE	156	0.152	0.002
0.5	3	FALSE	156	0.152	0.2805
0.5	4	FALSE	156	0.152	0.4895
0.5	5	FALSE	156	0.152	0.6025
0.5	6	FALSE	156	0.152	0.668
0.5	7	FALSE	156	0.152	0.7445
0.5	8	FALSE	156	0.152	0.7785
0.5	9	FALSE	156	0.152	0.8045
0.5	10	FALSE	156	0.152	0.8445
0.5	11	FALSE	156	0.152	0.8685
0.5	12	FALSE	156	0.152	0.8615
0.5	13	FALSE	156	0.152	0.9
0.5	14	FALSE	156	0.152	0.8905
0.5	15	FALSE	156	0.152	0.8995
0.5	2	FALSE	60	0.152	0.002
0.5	3	FALSE	60	0.152	0.001
0.5	4	FALSE	60	0.152	0.022
0.5	5	FALSE	60	0.152	0.115
0.5	6	FALSE	60	0.152	0.2015
0.5	7	FALSE	60	0.152	0.2625
0.5	8	FALSE	60	0.152	0.312
0.5	9	FALSE	60	0.152	0.3435
0.5	10	FALSE	60	0.152	0.3645
0.5	11	FALSE	60	0.152	0.38
0.5	12	FALSE	60	0.152	0.3965
0.5	13	FALSE	60	0.152	0.4095
0.5	14	FALSE	60	0.152	0.425
0.5	15	FALSE	60	0.152	0.4255
0.5	2	FALSE	156	0	0.148
0.5	3	FALSE	156	0	0.5055
0.5	4	FALSE	156	0	0.749
0.5	5	FALSE	156	0	0.862
0.5	6	FALSE	156	0	0.942
0.5	7	FALSE	156	0	0.974
0.5	8	FALSE	156	0	0.9915
0.5	9	FALSE	156	0	0.9935
0.5	10	FALSE	156	0	0.9965
0.5	11	FALSE	156	0	0.9995
0.5	12	FALSE	156	0	1
0.5	13	FALSE	156	0	1
0.5	14	FALSE	156	0	1
0.5	15	FALSE	156	0	1
0.5	2	FALSE	60	0	0.001
0.5	3	FALSE	60	0	0.025
0.5	4	FALSE	60	0	0.252
0.5	5	FALSE	60	0	0.412
0.5	6	FALSE	60	0	0.518
0.5	7	FALSE	60	0	0.6245
0.5	8	FALSE	60	0	0.687
0.5	9	FALSE	60	0	0.77
0.5	10	FALSE	60	0	0.824
0.5	11	FALSE	60	0	0.8625
0.5	12	FALSE	60	0	0.9105
0.5	13	FALSE	60	0	0.917
0.5	14	FALSE	60	0	0.9395
0.5	15	FALSE	60	0	0.9505
