hazard_ratio	followup	stratify	n	w	power
0.1	15	FALSE	10	0.152	0
0.2	15	FALSE	10	0.152	0
0.3	15	FALSE	10	0.152	0.01
0.4	15	FALSE	10	0.152	0
0.5	15	FALSE	10	0.152	0
0.6	15	FALSE	10	0.152	0
0.7	15	FALSE	10	0.152	0
0.8	15	FALSE	10	0.152	0.01
0.9	15	FALSE	10	0.152	0.05
0.1	15	FALSE	20	0.152	0.15
0.2	15	FALSE	20	0.152	0.08
0.3	15	FALSE	20	0.152	0.08
0.4	15	FALSE	20	0.152	0.05
0.5	15	FALSE	20	0.152	0.01
0.6	15	FALSE	20	0.152	0.05
0.7	15	FALSE	20	0.152	0.01
0.8	15	FALSE	20	0.152	0.02
0.9	15	FALSE	20	0.152	0.06
0.1	15	FALSE	30	0.152	0.56
0.2	15	FALSE	30	0.152	0.46
0.3	15	FALSE	30	0.152	0.34
0.4	15	FALSE	30	0.152	0.25
0.5	15	FALSE	30	0.152	0.2
0.6	15	FALSE	30	0.152	0.05
0.7	15	FALSE	30	0.152	0.03
0.8	15	FALSE	30	0.152	0.06
0.9	15	FALSE	30	0.152	0.02
0.1	15	FALSE	40	0.152	0.65
0.2	15	FALSE	40	0.152	0.71
0.3	15	FALSE	40	0.152	0.62
0.4	15	FALSE	40	0.152	0.43
0.5	15	FALSE	40	0.152	0.2
0.6	15	FALSE	40	0.152	0.14
0.7	15	FALSE	40	0.152	0.11
0.8	15	FALSE	40	0.152	0.04
0.9	15	FALSE	40	0.152	0.02
0.1	15	FALSE	50	0.152	0.8
0.2	15	FALSE	50	0.152	0.94
0.3	15	FALSE	50	0.152	0.8
0.4	15	FALSE	50	0.152	0.53
0.5	15	FALSE	50	0.152	0.37
0.6	15	FALSE	50	0.152	0.31
0.7	15	FALSE	50	0.152	0.08
0.8	15	FALSE	50	0.152	0.04
0.9	15	FALSE	50	0.152	0.03
0.1	15	FALSE	60	0.152	0.85
0.2	15	FALSE	60	0.152	0.9
0.3	15	FALSE	60	0.152	0.93
0.4	15	FALSE	60	0.152	0.75
0.5	15	FALSE	60	0.152	0.35
0.6	15	FALSE	60	0.152	0.24
0.7	15	FALSE	60	0.152	0.12
0.8	15	FALSE	60	0.152	0.06
0.9	15	FALSE	60	0.152	0.05
0.1	15	FALSE	70	0.152	0.89
0.2	15	FALSE	70	0.152	0.98
0.3	15	FALSE	70	0.152	0.88
0.4	15	FALSE	70	0.152	0.73
0.5	15	FALSE	70	0.152	0.56
0.6	15	FALSE	70	0.152	0.27
0.7	15	FALSE	70	0.152	0.16
0.8	15	FALSE	70	0.152	0.05
0.9	15	FALSE	70	0.152	0.1
0.1	15	FALSE	80	0.152	0.9
0.2	15	FALSE	80	0.152	0.97
0.3	15	FALSE	80	0.152	0.97
0.4	15	FALSE	80	0.152	0.77
0.5	15	FALSE	80	0.152	0.59
0.6	15	FALSE	80	0.152	0.41
0.7	15	FALSE	80	0.152	0.1
0.8	15	FALSE	80	0.152	0.08
0.9	15	FALSE	80	0.152	0.06
0.1	15	FALSE	90	0.152	0.93
0.2	15	FALSE	90	0.152	1
0.3	15	FALSE	90	0.152	0.97
0.4	15	FALSE	90	0.152	0.85
0.5	15	FALSE	90	0.152	0.68
0.6	15	FALSE	90	0.152	0.3
0.7	15	FALSE	90	0.152	0.27
0.8	15	FALSE	90	0.152	0.06
0.9	15	FALSE	90	0.152	0.02
0.1	15	FALSE	100	0.152	0.97
0.2	15	FALSE	100	0.152	0.99
0.3	15	FALSE	100	0.152	0.97
0.4	15	FALSE	100	0.152	0.95
0.5	15	FALSE	100	0.152	0.64
0.6	15	FALSE	100	0.152	0.53
0.7	15	FALSE	100	0.152	0.26
